Date : 2024-09-04 13:20:42
Directory : /Users/boidu/Developer/better-yt-lyrics
Total : 75 files,  8960 codes, 187 comments, 869 blanks, all 10016 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/boidu/Developer/better-yt-lyrics/src/core/constants.js                    | JavaScript         |         60 |          1 |          2 |         63 |
| /Users/boidu/Developer/better-yt-lyrics/src/core/storage.js                      | JavaScript         |         32 |          0 |          3 |         35 |
| /Users/boidu/Developer/better-yt-lyrics/src/core/utils.js                        | JavaScript         |         32 |          0 |          5 |         37 |
| /Users/boidu/Developer/better-yt-lyrics/src/index.css                            | PostCSS            |        589 |         22 |         74 |        685 |
| /Users/boidu/Developer/better-yt-lyrics/src/index.js                             | JavaScript         |         38 |          0 |          6 |         44 |
| /Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/autorefresh.min.js   | JavaScript         |          1 |          0 |          0 |          1 |
| /Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/closebrackets.min.js | JavaScript         |          1 |          0 |          0 |          1 |
| /Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/codemirror.min.css   | PostCSS            |          1 |          0 |          0 |          1 |
| /Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/codemirror.min.js    | JavaScript         |          1 |          0 |          0 |          1 |
| /Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/css-hint.min.js      | JavaScript         |          1 |          0 |          0 |          1 |
| /Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/css.min.js           | JavaScript         |          1 |          0 |          0 |          1 |
| /Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/lint.min.js          | JavaScript         |          1 |          0 |          0 |          1 |
| /Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/seti.min.css         | PostCSS            |          1 |          0 |          0 |          1 |
| /Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/show-hint.min.css    | PostCSS            |          1 |          0 |          0 |          1 |
| /Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/show-hint.min.js     | JavaScript         |          1 |          0 |          0 |          1 |
| /Users/boidu/Developer/better-yt-lyrics/src/modules/lyrics/lyrics.js             | JavaScript         |        166 |          0 |         26 |        192 |
| /Users/boidu/Developer/better-yt-lyrics/src/modules/lyrics/translation.js        | JavaScript         |         26 |          0 |          3 |         29 |
| /Users/boidu/Developer/better-yt-lyrics/src/modules/settings/settings.js         | JavaScript         |         85 |          0 |         13 |         98 |
| /Users/boidu/Developer/better-yt-lyrics/src/modules/ui/dom.js                    | JavaScript         |        289 |          0 |         66 |        355 |
| /Users/boidu/Developer/better-yt-lyrics/src/modules/ui/observer.js               | JavaScript         |         80 |          0 |          9 |         89 |
| /Users/boidu/Developer/better-yt-lyrics/src/options/editor.js                    | JavaScript         |        188 |          4 |         33 |        225 |
| /Users/boidu/Developer/better-yt-lyrics/src/options/options.css                  | PostCSS            |        317 |          0 |         54 |        371 |
| /Users/boidu/Developer/better-yt-lyrics/src/options/options.html                 | HTML               |        302 |          2 |          4 |        308 |
| /Users/boidu/Developer/better-yt-lyrics/src/options/options.js                   | JavaScript         |         57 |          8 |          9 |         74 |
| /Users/boidu/Developer/better-yt-lyrics/src/script.js                            | JavaScript         |         13 |          0 |          3 |         16 |
| /Users/boidu/Developer/better-yt-lyrics/templates/manifest.chrome.json           | JSON               |         67 |          0 |          1 |         68 |
| /Users/boidu/Developer/better-yt-lyrics/templates/manifest.firefox.json          | JSON               |         70 |          0 |          1 |         71 |
| /Users/boidu/Developer/better-yt-lyrics/www/.eslintrc.json                       | JSON with Comments |          7 |          0 |          1 |          8 |
| /Users/boidu/Developer/better-yt-lyrics/www/.prettierignore                      | Ignore             |          2 |          0 |          0 |          2 |
| /Users/boidu/Developer/better-yt-lyrics/www/README.md                            | Markdown           |         20 |          0 |         15 |         35 |
| /Users/boidu/Developer/better-yt-lyrics/www/components.json                      | JSON               |         17 |          0 |          1 |         18 |
| /Users/boidu/Developer/better-yt-lyrics/www/components/landing.tsx               | TypeScript JSX     |        432 |         27 |         17 |        476 |
| /Users/boidu/Developer/better-yt-lyrics/www/components/ui/avatar.tsx             | TypeScript JSX     |         34 |          0 |          7 |         41 |
| /Users/boidu/Developer/better-yt-lyrics/www/components/ui/card.tsx               | TypeScript JSX     |         33 |          0 |          8 |         41 |
| /Users/boidu/Developer/better-yt-lyrics/www/next.config.js                       | JavaScript         |          4 |          1 |          2 |          7 |
| /Users/boidu/Developer/better-yt-lyrics/www/package-lock.json                    | JSON               |      3,978 |          0 |          1 |      3,979 |
| /Users/boidu/Developer/better-yt-lyrics/www/package.json                         | JSON               |         35 |          0 |          1 |         36 |
| /Users/boidu/Developer/better-yt-lyrics/www/pages/_app.tsx                       | TypeScript JSX     |          5 |          0 |          2 |          7 |
| /Users/boidu/Developer/better-yt-lyrics/www/pages/_document.tsx                  | TypeScript JSX     |         12 |          0 |          2 |         14 |
| /Users/boidu/Developer/better-yt-lyrics/www/pages/api/status.ts                  | TypeScript         |          7 |          0 |          3 |         10 |
| /Users/boidu/Developer/better-yt-lyrics/www/pages/index.tsx                      | TypeScript JSX     |         18 |          0 |          2 |         20 |
| /Users/boidu/Developer/better-yt-lyrics/www/postcss.config.js                    | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/boidu/Developer/better-yt-lyrics/www/public/placeholder.svg               | XML                |          1 |          0 |          0 |          1 |
| /Users/boidu/Developer/better-yt-lyrics/www/styles/globals.css                   | PostCSS            |        100 |          0 |         25 |        125 |
| /Users/boidu/Developer/better-yt-lyrics/www/tailwind.config.js                   | JavaScript         |         80 |          1 |          1 |         82 |
| /Users/boidu/Developer/better-yt-lyrics/www/tsconfig.json                        | JSON with Comments |         20 |          0 |          1 |         21 |
| /Users/boidu/Developer/better-yt-lyrics/www/utils/functions.ts                   | TypeScript         |         21 |          0 |          8 |         29 |
| Total                                                                            |                    |      8,960 |        187 |        869 |     10,016 |
+----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
