"filename", "language", "JavaScript", "Ignore", "Markdown", "JSON", "Shell Script", "HTML", "PostCSS", "JSON with Comments", "Go", "Go Checksum File", "TypeScript JSX", "TypeScript", "Go Module File", "XML", "comment", "blank", "total"
"/Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/closebrackets.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/codemirror.min.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/codemirror.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/css-hint.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/css.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/lint.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/seti.min.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/show-hint.min.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/boidu/Developer/better-yt-lyrics/src/libs/codemirror/show-hint.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/boidu/Developer/better-yt-lyrics/src/modules/lyrics/lyrics.js", "JavaScript", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 192
"/Users/boidu/Developer/better-yt-lyrics/src/modules/lyrics/translation.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/boidu/Developer/better-yt-lyrics/src/modules/settings/settings.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 98
"/Users/boidu/Developer/better-yt-lyrics/src/modules/ui/dom.js", "JavaScript", 289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 355
"/Users/boidu/Developer/better-yt-lyrics/src/modules/ui/observer.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 89
"/Users/boidu/Developer/better-yt-lyrics/src/options/editor.js", "JavaScript", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33, 225
"/Users/boidu/Developer/better-yt-lyrics/src/options/options.css", "PostCSS", 0, 0, 0, 0, 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 0, 54, 371
"/Users/boidu/Developer/better-yt-lyrics/src/options/options.html", "HTML", 0, 0, 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 308
"/Users/boidu/Developer/better-yt-lyrics/src/options/options.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 74
"/Users/boidu/Developer/better-yt-lyrics/src/script.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/boidu/Developer/better-yt-lyrics/templates/manifest.chrome.json", "JSON", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"/Users/boidu/Developer/better-yt-lyrics/templates/manifest.firefox.json", "JSON", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71
"/Users/boidu/Developer/better-yt-lyrics/www/.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/boidu/Developer/better-yt-lyrics/www/.prettierignore", "Ignore", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/boidu/Developer/better-yt-lyrics/www/README.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 35
"/Users/boidu/Developer/better-yt-lyrics/www/components.json", "JSON", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/boidu/Developer/better-yt-lyrics/www/components/landing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 432, 0, 0, 0, 27, 17, 476
"/Users/boidu/Developer/better-yt-lyrics/www/components/ui/avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 7, 41
"/Users/boidu/Developer/better-yt-lyrics/www/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 8, 41
"/Users/boidu/Developer/better-yt-lyrics/www/next.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/boidu/Developer/better-yt-lyrics/www/package-lock.json", "JSON", 0, 0, 0, 3978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3979
"/Users/boidu/Developer/better-yt-lyrics/www/package.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/boidu/Developer/better-yt-lyrics/www/pages/_app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/Users/boidu/Developer/better-yt-lyrics/www/pages/_document.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/boidu/Developer/better-yt-lyrics/www/pages/api/status.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"/Users/boidu/Developer/better-yt-lyrics/www/pages/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"/Users/boidu/Developer/better-yt-lyrics/www/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/boidu/Developer/better-yt-lyrics/www/public/placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/boidu/Developer/better-yt-lyrics/www/styles/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 25, 125
"/Users/boidu/Developer/better-yt-lyrics/www/tailwind.config.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 82
"/Users/boidu/Developer/better-yt-lyrics/www/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/boidu/Developer/better-yt-lyrics/www/utils/functions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 8, 29
"Total", "-", 1175, 5, 538, 4290, 347, 302, 1009, 27, 662, 27, 534, 28, 15, 1, 187, 869, 10016
